"","Node","Microbe Names","Node Size"
"1","1","Enterobacteriaceae","8"
"2","2","Gammaproteobacteria","14"
"3","3","Enterobacteriales","3"
"4","4","Prevotellaceae","1"
"5","5","Paraprevotellaceae","1"
"6","6","Myxococcales","1"
"7","7","Lentisphaeria","1"
