"","V1","V2","V3","V4","V5"
"mat_entry","Otu000153","Otu000653","0.375263226629657","0.361501798699022","0.0137614279306353"
"mat_entry.1","Otu000153","Otu000813","0.735421140016876","0.693567178031001","0.0418539619858742"
"mat_entry.2","Otu000153","Otu000226","0.640491938992753","0.599707678311183","0.04078426068157"
"mat_entry.3","Otu000153","Otu000645","0.573049613584335","0.577324872089004","0.00427525850466859"
"mat_entry.4","Otu000153","Otu000460","0.702662586027429","0.678710329819274","0.0239522562081549"
"mat_entry.5","Otu000153","Otu000620","0.48163217687122","0.451350295970804","0.0302818809004154"
"mat_entry.6","Otu000153","Otu000397","0.216815734089621","0.221476079021634","0.00466034493201323"
"mat_entry.7","Otu000153","Otu000115","0.0373921255163994","0.0407483124568811","0.00335618694048176"
"mat_entry.8","Otu000153","Otu000400","-0.0179405791957474","-0.00342940678290782","0.0145111724128396"
"mat_entry.9","Otu000153","Otu001119","-0.0247564882920433","-0.024592915560563","0.000163572731480318"
"mat_entry.10","Otu000153","Otu000359","-0.0138536218146285","-0.0170164241229941","0.00316280230836562"
"mat_entry.11","Otu000153","Otu000315","0.0605764671776","0.0575122617426607","0.00306420543493931"
"mat_entry.12","Otu000153","Otu000485","-0.0131251318382302","0.0118192994826646","0.0249444313208948"
"mat_entry.13","Otu000153","Otu000169","0.225736682413299","0.153756529076029","0.0719801533372695"
"mat_entry.14","Otu000153","Otu000334","-0.0219526549417265","-0.0173274375753137","0.00462521736641282"
"mat_entry.15","Otu000153","Otu000186","-0.0356098040105057","-0.0359400453271748","0.00033024131666911"
"mat_entry.16","Otu000153","Otu000121","0.07731107310736","0.0831699894379654","0.0058589163306054"
"mat_entry.17","Otu000153","Otu001568","0.532575131887212","0.509100631053425","0.0234745008337869"
"mat_entry.18","Otu000153","Otu000211","0.0463199885240478","0.0309689433830806","0.0153510451409672"
"mat_entry.19","Otu000153","Otu000413","-0.00754999428443926","-0.00301556069863096","0.00453443358580831"
"mat_entry.20","Otu000153","Otu000374","-0.0494020501858725","-0.0383577706114881","0.0110442795743844"
"mat_entry.21","Otu000153","Otu000124","-0.0466155550863043","-0.0124014513250822","0.0342141037612221"
"mat_entry.22","Otu000153","Otu000393","-0.0027444651928497","-0.0207925288684025","0.0180480636755528"
"mat_entry.23","Otu000153","Otu000358","0.0093997120212753","0.0143594578052932","0.00495974578401793"
"mat_entry.24","Otu000153","Otu000013","-0.0935069112965381","-0.0909448984713143","0.00256201282522385"
"mat_entry.25","Otu000153","Otu001109","0.0146637663846271","0.00110899828583906","0.0135547680987881"
"mat_entry.26","Otu000153","Otu000284","-0.0350311295775087","-0.0410123946493627","0.00598126507185396"
"mat_entry.27","Otu000153","Otu000095","0.0459625609236458","0.0597077493079109","0.0137451883842651"
"mat_entry.28","Otu000153","Otu000060","-0.0397631162133461","-0.0364467041876825","0.00331641202566361"
"mat_entry.29","Otu000153","Otu000108","0.0362032891557622","0.0400813818973831","0.00387809274162097"
"mat_entry.30","Otu000153","Otu000306","-0.0233026064369326","-0.0393434667129011","0.0160408602759685"
"mat_entry.31","Otu000153","Otu000375","0.00876935039864255","-0.000226110903772331","0.00899546130241488"
"mat_entry.32","Otu000153","Otu000079","-0.0336894822201121","-0.0242024908748967","0.00948699134521537"
"mat_entry.33","Otu000153","Otu000046","-0.0430215204053478","-0.0352422459019463","0.00777927450340143"
"mat_entry.34","Otu000153","Otu000713","-0.00920801151775335","-0.00925589560522059","4.78840874672468e-05"
"mat_entry.35","Otu000153","Otu000038","-0.0221126784254948","-0.0147520209370047","0.00736065748849006"
"mat_entry.36","Otu000153","Otu000294","-0.0136287380676534","-0.0132234001620838","0.000405337905569573"
"mat_entry.37","Otu000153","Otu000684","0.197318040909034","0.20332836126636","0.0060103203573261"
"mat_entry.38","Otu000153","Otu000084","-0.0314580369938529","-0.02218267756709","0.00927535942676288"
"mat_entry.39","Otu000153","Otu001914","0.430491096072766","0.403868047832756","0.0266230482400104"
"mat_entry.40","Otu000153","Otu000331","-0.0152099710364157","-0.00616744715509403","0.0090425238813217"
"mat_entry.41","Otu000153","Otu001212","-0.0142252272807041","-0.0129575197029754","0.00126770757772872"
"mat_entry.42","Otu000153","Otu000042","-0.0811037286318464","-0.0717654363668022","0.00933829226504419"
"mat_entry.43","Otu000153","Otu000454","-0.00934566073164315","-0.0086950168642881","0.000650643867355043"
"mat_entry.44","Otu000153","Otu000283","0.0319022609396344","0.0317620834983977","0.000140177441236657"
"mat_entry.45","Otu000153","Otu001205","-0.019217750959032","-0.0174533870050236","0.0017643639540084"
"mat_entry.46","Otu000153","Otu000117","0.0314373416090213","0.033428155699465","0.00199081409044375"
"mat_entry.47","Otu000153","Otu000984","-0.0161746838060815","-0.01373956143539","0.00243512237069148"
"mat_entry.48","Otu000153","Otu000165","-0.0365266839203018","-0.0255057934817605","0.0110208904385414"
"mat_entry.49","Otu000153","Otu000183","-0.00271336561760673","-0.0250611212395239","0.0223477556219172"
"mat_entry.50","Otu000153","Otu000012","-0.0354243589606289","-0.0268020180330831","0.00862234092754574"
"mat_entry.51","Otu000153","Otu000242","-0.0291889041818979","-0.040418421491637","0.0112295173097391"
"mat_entry.52","Otu000153","Otu001485","-0.0225129881465935","-0.0203448931207017","0.00216809502589184"
"mat_entry.53","Otu000153","Otu000507","-0.00202135933793775","-0.0157884737051284","0.0137671143671907"
"mat_entry.54","Otu000153","Otu000394","0.00589771522457553","-0.00659064666714232","0.0124883618917178"
"mat_entry.55","Otu000153","Otu000391","0.0850136608710551","0.0750542433007393","0.00995941757031572"
"mat_entry.56","Otu000153","Otu000639","-0.0184174449387271","-0.01371983334448","0.00469761159424709"
"mat_entry.57","Otu000153","Otu000035","-0.0428286588262614","-0.038133074325031","0.00469558450123034"
"mat_entry.58","Otu000153","Otu000201","-0.0105335937501294","-0.0166360179656225","0.00610242421549311"
"mat_entry.59","Otu000153","Otu000378","-0.0127470997535265","-0.0238659195032755","0.011118819749749"
"mat_entry.60","Otu000153","Otu000402","0.127822615990662","0.15103392524902","0.0232113092583585"
"mat_entry.61","Otu000153","Otu001169","-0.0252620995580667","-0.0294844027512708","0.00422230319320404"
"mat_entry.62","Otu000153","Otu001023","-0.0362973867827961","-0.0330947041621799","0.00320268262061624"
"mat_entry.63","Otu000153","Otu001162","0.0354789040922137","0.0594628138848267","0.023983909792613"
"mat_entry.64","Otu000153","Otu001004","0.373841669689696","0.368423382572153","0.0054182871175435"
"mat_entry.65","Otu000153","Otu000071","-0.0115926965692955","-0.0266699686473182","0.0150772720780227"
"mat_entry.66","Otu000153","Otu000717","-0.0352134892039107","-0.0259262777817942","0.00928721142211647"
"mat_entry.67","Otu000153","Otu000589","0.0982672582823707","0.0636613350584244","0.0346059232239463"
"mat_entry.68","Otu000153","Otu000800","-0.00602403266708075","-0.00461435937081689","0.00140967329626385"
"mat_entry.69","Otu000153","Otu000103","-0.0225126769409472","-0.0236340282219847","0.00112135128103749"
"mat_entry.70","Otu000153","Otu001098","-0.0212846246539913","-0.020207643703256","0.00107698095073538"
"mat_entry.71","Otu000153","Otu000588","-0.0278042140832503","-0.0367298364231679","0.0089256223399176"
"mat_entry.72","Otu000153","Otu001204","0.587133427174134","0.60109580972741","0.0139623825532764"
"mat_entry.73","Otu000153","Otu000288","-0.0107196215880322","-0.00800954178903759","0.00271007979899457"
"mat_entry.74","Otu000153","Otu001209","-0.009157153920361","-0.0134047194626919","0.00424756554233094"
"mat_entry.75","Otu000153","Otu000846","0.00812894951999788","-0.0121066946057434","0.0202356441257413"
"mat_entry.76","Otu000153","Otu000099","-0.0269816810205555","-0.0445107843544781","0.0175291033339226"
"mat_entry.77","Otu000153","Otu001438","0.177737054932821","0.215118528697941","0.0373814737651202"
"mat_entry.78","Otu000153","Otu000853","0.0606815982693959","0.0657216875245202","0.00504008925512422"
"mat_entry.79","Otu000153","Otu000785","-0.0208927893348254","-0.0199249769175991","0.000967812417226269"
"mat_entry.80","Otu000153","Otu000349","-0.00865175750493056","-0.0100886062854116","0.00143684878048106"
"mat_entry.81","Otu000153","Otu000640","-0.020158158527336","-0.0235829360583128","0.00342477753097678"
"mat_entry.82","Otu000153","Otu000100","0.0760157884692084","0.0759117801481494","0.000104008321058988"
"mat_entry.83","Otu000153","Otu000175","-0.0320548209700008","-0.0208735760683141","0.0111812449016867"
"mat_entry.84","Otu000153","Otu000185","-0.0199028541064302","-0.0329849473011509","0.0130820931947208"
"mat_entry.85","Otu000153","Otu005596","-0.00104521104799487","-0.0159101873145063","0.0148649762665114"
"mat_entry.86","Otu000153","Otu000790","-0.0158941407224386","-0.0143967691731003","0.00149737154933833"
"mat_entry.87","Otu000153","Otu000252","-0.0311204847327892","-0.0329064555804021","0.00178597084761289"
"mat_entry.88","Otu000153","Otu001350","-0.013659781102451","-0.0123729064012522","0.00128687470119878"
"mat_entry.89","Otu000153","Otu000385","0.0360559390222152","0.0305671318838641","0.00548880713835111"
"mat_entry.90","Otu000153","Otu000407","-0.0266771795247461","-0.0261355976707724","0.000541581853973717"
"mat_entry.91","Otu000153","Otu002730","-0.0142948015780576","-0.017091578811441","0.00279677723338334"
"mat_entry.92","Otu000153","Otu000303","-0.0251255035800477","-0.0281059586372579","0.0029804550572102"
"mat_entry.93","Otu000153","Otu000821","-0.011860024212393","-0.00889804080309277","0.00296198340930021"
"mat_entry.94","Otu000153","Otu000632","-0.030380599955323","-0.0226360343557237","0.00774456559959933"
"mat_entry.95","Otu000153","Otu000039","0.01969218409098","0.00902887764415704","0.010663306446823"
"mat_entry.96","Otu000153","Otu000150","0.0282352819551747","0.0320586421788674","0.00382336022369269"
"mat_entry.97","Otu000153","Otu000179","0.0346559480654124","0.0361225654621227","0.00146661739671026"
"mat_entry.98","Otu000153","Otu000952","0.163098026512697","0.163318031001089","0.000220004488391851"
"mat_entry.99","Otu000653","Otu000813","0.378783301424451","0.392201614213456","0.0134183127890055"
"mat_entry.100","Otu000653","Otu000226","0.332712493279939","0.269285789424992","0.063426703854947"
"mat_entry.101","Otu000653","Otu000645","0.306146908994142","0.322481645472881","0.0163347364787387"
"mat_entry.102","Otu000653","Otu000460","0.453603196354131","0.409972571285447","0.0436306250686835"
"mat_entry.103","Otu000653","Otu000620","0.168954679599203","0.118168502500169","0.0507861770990336"
"mat_entry.104","Otu000653","Otu000397","0.444603748191868","0.421324639778304","0.0232791084135641"
"mat_entry.105","Otu000653","Otu000115","0.0465223060718566","0.0387462972981484","0.0077760087737082"
"mat_entry.106","Otu000653","Otu000400","-0.0144602578202652","-0.018923494394498","0.00446323657423279"
"mat_entry.107","Otu000653","Otu001119","-0.0325951280955513","-0.0307296167688922","0.00186551132665905"
"mat_entry.108","Otu000653","Otu000359","-0.00195960820363704","-0.0212625538760875","0.0193029456724505"
"mat_entry.109","Otu000653","Otu000315","0.0716219658549724","0.0675520066859693","0.00406995916900306"
"mat_entry.110","Otu000653","Otu000485","-0.0386119013300031","-0.0322519567521046","0.00635994457789852"
"mat_entry.111","Otu000653","Otu000169","0.0729944257616467","0.0595378633719953","0.0134565623896514"
"mat_entry.112","Otu000653","Otu000334","-0.0249249747376606","-0.0216511749070594","0.0032737998306012"
"mat_entry.113","Otu000653","Otu000186","0.00120339400676245","0.0193921816445449","0.0181887876377824"
"mat_entry.114","Otu000653","Otu000121","0.228208822399327","0.186793451835559","0.0414153705637689"
"mat_entry.115","Otu000653","Otu001568","0.131162415366797","0.106430205202349","0.0247322101644478"
"mat_entry.116","Otu000653","Otu000211","-0.00620828246054005","-0.0205946592143571","0.014386376753817"
"mat_entry.117","Otu000653","Otu000413","0.0261327799964848","0.0299022583709324","0.00376947837444751"
"mat_entry.118","Otu000653","Otu000374","-0.0440168321207486","-0.0308944236858996","0.0131224084348491"
"mat_entry.119","Otu000653","Otu000124","-0.0302016431081808","-0.00744613039907556","0.0227555127091053"
"mat_entry.120","Otu000653","Otu000393","-0.0302654532042653","-0.0169392612097992","0.0133261919944661"
"mat_entry.121","Otu000653","Otu000358","-0.0349230010916319","-0.0380565792224919","0.00313357813086003"
"mat_entry.122","Otu000653","Otu000013","-0.0895427592400935","-0.0807957587110324","0.00874700052906113"
"mat_entry.123","Otu000653","Otu001109","0.0724981557972374","0.048688074508837","0.0238100812884004"
"mat_entry.124","Otu000653","Otu000284","0.00234241273861784","-0.00277652177180997","0.00511893451042781"
"mat_entry.125","Otu000653","Otu000095","0.0278231609018911","0.0231109053067733","0.00471225559511776"
"mat_entry.126","Otu000653","Otu000060","-0.0167055587970028","-0.0114020721016528","0.00530348669535002"
"mat_entry.127","Otu000653","Otu000108","-0.0271807425933209","-0.0260178341921422","0.00116290840117875"
"mat_entry.128","Otu000653","Otu000306","-0.0306980167796041","-0.0359687574442483","0.0052707406646442"
"mat_entry.129","Otu000653","Otu000375","-0.0117508674435981","-0.030173201980091","0.018422334536493"
"mat_entry.130","Otu000653","Otu000079","-0.0513847882182572","-0.0402041354642206","0.0111806527540366"
"mat_entry.131","Otu000653","Otu000046","-0.0632663784983251","-0.0559973639187568","0.00726901457956829"
"mat_entry.132","Otu000653","Otu000713","-0.0318687547500457","-0.0341571081623724","0.00228835341232669"
"mat_entry.133","Otu000653","Otu000038","-0.0166135700054387","-0.0184331113098187","0.00181954130438002"
"mat_entry.134","Otu000653","Otu000294","0.0447970509998988","0.0415314681524439","0.00326558284745496"
"mat_entry.135","Otu000653","Otu000684","0.330009547483371","0.393512482336269","0.0635029348528988"
