"","Node","Microbe Names","Node Size"
"1","1","Bacteroides","11"
"2","2","Blautia","3"
"3","3","Coprococcus","2"
"4","4","Ruminococcus","4"
"5","5","Fusobacterium","9"
"6","6","Gemella","6"
"7","7","Roseburi","2"
"8","8","Eikenell","1"
"9","9","Ruminococcaceae","2"
"10","10","Lachnospiraceae","1"
"11","11","Odoribacter","2"
"12","12","Bilophila","1"
"13","13","Prevotella","7"
"14","14","Porphyromonas","5"
"15","15","Alistipes","2"
"16","16","Prevotell","7"
"17","17","Parvimonas","6"
"18","18","Peptostreptococcus","6"
"19","19","Dialister","2"
"20","20","Dore","1"
