"","x"
"1","1.33952"
"2","-0.25293"
"3","-0.97783"
"4","-0.04312"
"5","0.27677"
"6","-0.20072"
"7","0.04428"
"8","0.42909"
"9","-0.19759"
"10","-0.24035"
"11","-1.93727"
"12","0.04078"
"13","0.07136"
"14","-0.20380"
"15","0.60297"
"16","0.02981"
"17","-1.47242"
"18","0.99797"
"19","-0.13473"
"20","0.00046"
"21","-1.01440"
"22","-0.01749"
"23","-0.03332"
"24","-0.00225"
"25","-0.00236"
"26","-0.94602"
"27","0.43872"
"28","0.34186"
"29","-0.56159"
"30","-1.27064"
"31","0.51659"
"32","0.21991"
"33","-0.03295"
"34","-0.60580"
"35","0.26760"
"36","0.06324"
"37","-0.00623"
"38","-0.12406"
"39","-0.02403"
"40","-0.26591"
"41","0.74860"
"42","0.43641"
"43","-0.63014"
"44","0.63851"
"45","0.81318"
"46","0.75011"
"47","0.17971"
"48","-0.08398"
"49","0.11209"
"50","-0.03583"
"51","-0.02885"
"52","-0.00472"
"53","0.05122"
"54","0.00118"
"55","-0.23767"
"56","0.73569"
"57","-1.55936"
"58","-0.99868"
"59","0.19848"
"60","-0.34605"
"61","1.22748"
"62","0.00075"
"63","0.03228"
"64","1.59922"
"65","-0.20848"
"66","0.08509"
"67","-0.60866"
"68","-0.05139"
"69","-0.23839"
"70","0.06877"
"71","-0.00890"
"72","-0.06188"
"73","-0.10177"
"74","-0.03847"
"75","-0.15117"
"76","-0.17976"
"77","0.50839"
"78","-0.06067"
"79","0.89265"
"80","0.30692"
"81","-1.25944"
"82","-0.05371"
"83","1.15426"
"84","-1.38366"
"85","-0.11885"
"86","0.47753"
"87","-0.05663"
"88","0.00286"
"89","0.01486"
"90","-0.00039"
"91","0.03703"
"92","0.60270"
"93","-1.43621"
"94","0.04081"
"95","-1.36644"
"96","0.65432"
"97","-0.89003"
"98","-0.64191"
