"","OTU_network"
"Otu000012","Blautia"
"Otu000013","Lachnospiraceae"
"Otu000035","Collinsella"
"Otu000038","Lachnospiraceae"
"Otu000039","Erysipelotrichaceae"
"Otu000042","Ruminococcaceae"
"Otu000046","Bacteroides"
"Otu000060","Lachnospiraceae"
"Otu000071","Odoribacter"
"Otu000079","Coprococcus"
"Otu000084","Pasteurellaceae"
"Otu000095","Clostridium_XlV"
"Otu000099","Lachnospiraceae"
"Otu000100","Bilophila"
"Otu000103","Catenibacteriu"
"Otu000108","Dore"
"Otu000115","Prevotella"
"Otu000117","Lachnospiraceae"
"Otu000121","Ruminococcaceae"
"Otu000124","Clostridiales_unclassified"
"Otu000150","Desulfovibrio"
"Otu000153","Porphyromonas"
"Otu000165","Lachnospiraceae"
"Otu000169","Clostridium_XlVb"
"Otu000175","Clostridiales_unclassified"
"Otu000179","Ruminococcaceae"
"Otu000183","Ruminococcus"
"Otu000185","Ruminococcaceae"
"Otu000186","Flavonifractor"
"Otu000201","Lachnospiraceae"
"Otu000211","Odoribacter"
"Otu000226","Fusobacterium"
"Otu000242","Coriobacteriaceae"
"Otu000252","Lachnospiraceae"
"Otu000283","Firmicutes_unclassified"
"Otu000284","Lachnospiraceae"
"Otu000288","Subdoligranulu"
"Otu000294","Collinsella"
"Otu000303","Bacteroides"
"Otu000306","Lachnospiraceae"
"Otu000315","Clostridium_XlV"
"Otu000331","Alistipes"
"Otu000334","Ruminococcaceae"
"Otu000349","Barnesiella"
"Otu000358","Ruminococcaceae"
"Otu000359","Bacteria_unclassified"
"Otu000374","Bacteria_unclassified"
"Otu000375","Ruminococcaceae"
"Otu000378","Peptococcus"
"Otu000385","Lachnospiraceae"
"Otu000391","Megamonas"
"Otu000393","Barnesiella"
"Otu000394","Bacteria_unclassified"
"Otu000397","Gemella"
"Otu000400","Clostridiales_unclassified"
"Otu000402","Mogibacterium"
"Otu000407","Bacteroides"
"Otu000413","Coprobacillus"
"Otu000454","Prevotell"
"Otu000460","Parvimonas"
"Otu000485","Clostridium_XlVb"
"Otu000507","Ruminococcaceae"
"Otu000588","Ruminococcaceae"
"Otu000589","Ruminococcaceae"
"Otu000620","Clostridiales_unclassified"
"Otu000632","Ruminococcaceae"
"Otu000639","Bacteria_unclassified"
"Otu000640","Bacteroides"
"Otu000645","Porphyromonas"
"Otu000653","Peptostreptococcus"
"Otu000684","Anaerococcus"
"Otu000713","Clostridia_unclassified"
"Otu000717","Bacteria_unclassified"
"Otu000785","Firmicutes_unclassified"
"Otu000790","Roseburi"
"Otu000800","Clostridiales_unclassified"
"Otu000813","Dialister"
"Otu000821","Bacteria_unclassified"
"Otu000846","Clostridiales_unclassified"
"Otu000853","Eikenell"
"Otu000952","Anaerococcus"
"Otu000984","Corynebacterium"
"Otu001004","Bacteria_unclassified"
"Otu001023","Lachnospiraceae"
"Otu001098","Bacteria_unclassified"
"Otu001109","Clostridium_sensu_stricto"
"Otu001119","Clostridiales_unclassified"
"Otu001162","Megasphaera"
"Otu001169","Ruminococcaceae"
"Otu001204","Porphyromonadaceae"
"Otu001205","Prevotella"
"Otu001209","Clostridiales_unclassified"
"Otu001212","Clostridiales_unclassified"
"Otu001350","Clostridiales_unclassified"
"Otu001438","Lachnoanaerobaculum"
"Otu001485","Clostridium_XVIII"
"Otu001568","Mogibacterium"
"Otu001914","Howardella"
"Otu002730","Clostridia_unclassified"
"Otu005596","Clostridia_unclassified"
