"","Node","Microbe Names","Node Size","Cluster_Parameters"
"1","1","Enterobacteriaceae","14","0.100503781525921"
"2","2","Lactobacillus","17","3.35012605086404"
"3","3","Alloprevotella","7","0.100503781525921"
"4","4","Prevotella","4","0.100503781525921"
"5","5","Bacteroides","4","0.0857845507235624"
"6","6","Akkermansia","2","0.100503781525921"
"7","7","Betaproteobacteria","1","0.100503781525921"
"8","8","Porphyromonadaceae","1","0.100503781525921"
"9","9","Anaeroplasma","1","0.100503781525921"
"10","10","Burkholderiales","1","0.100503781525921"
"11","11","Bacteroidales","1","0.100503781525921"
