"","Cluster Number"
"Otu00001",0
"Otu00057",0
"Otu00023",0
"Otu00002",0
"Otu00046",0
"Otu00003",0
"Otu00213",0
"Otu00015",0
"Otu00007",0
"Otu00049",0
"Otu00083",0
"Otu00203",0
"Otu00207",0
"Otu00018",1
"Otu00028",0
"Otu00013",0
"Otu00300",0
"Otu00033",0
"Otu00171",0
"Otu00073",0
"Otu00108",0
"Otu00075",0
"Otu00014",0
"Otu00101",0
"Otu00005",0
"Otu00027",0
"Otu00154",0
"Otu00077",0
"Otu00036",0
"Otu00035",0
"Otu00006",0
"Otu00050",0
"Otu00559",0
"Otu00056",0
"Otu00022",0
"Otu00009",0
"Otu00393",0
"Otu00024",0
"Otu00189",0
"Otu00012",0
"Otu00011",0
"Otu00162",0
"Otu00346",0
"Otu00090",0
"Otu00111",0
"Otu00048",0
"Otu00194",0
"Otu00119",0
"Otu00020",0
"Otu00039",0
"Otu00044",0
"Otu00081",0
"Otu00275",0
"Otu00184",0
"Otu00099",0
"Otu00059",0
"Otu00040",0
"Otu00160",0
"Otu00010",0
"Otu00512",0
"Otu00008",0
"Otu00004",0
"Otu00107",0
"Otu00053",0
"Otu00078",0
"Otu00110",0
"Otu00091",0
"Otu00491",0
"Otu00069",0
"Otu00079",0
"Otu00037",0
"Otu00029",1
"Otu00178",0
"Otu00038",0
"Otu00041",0
"Otu00092",0
"Otu00234",0
"Otu00514",0
"Otu00058",0
"Otu00047",0
"Otu00067",0
"Otu00043",0
"Otu00085",0
"Otu00054",0
"Otu00122",0
"Otu00068",0
"Otu00088",0
"Otu00126",0
"Otu00096",0
"Otu00031",0
"Otu00034",0
"Otu00131",0
"Otu00061",0
"Otu00324",0
"Otu00285",0
"Otu00045",0
"Otu00032",0
"Otu00120",0
"Otu00264",0
"Otu00607",0
