"","ADres"
"Otu000153",3.92553925456397
"Otu000653",-3.43387641971025
"Otu000813",-0.53410923100513
"Otu000460",-1.43174973167462
"Otu000620",0.0191046030443623
"Otu000397",-0.696249878046917
"Otu000115",-0.100137498490344
"Otu000400",0.131028917802713
"Otu001119",-0.303829157075493
"Otu000359",0.0869608046355129
"Otu000315",-0.84737446264388
"Otu000485",0.505444235992072
"Otu000169",0.0156573914219644
"Otu000334",-0.0979575948993121
"Otu000186",0.270377481417473
"Otu000121",0.403260616182926
"Otu001568",-0.0225076890907315
"Otu000211",1.03357501990212
"Otu000413",-0.771943044687704
"Otu000374",0.103879282166384
"Otu000124",0.0174007682179665
"Otu000393",0.522705756286413
"Otu000358",-0.0096547117470211
"Otu000013",0.0247059897283986
"Otu001109",0.0192091424004893
"Otu000284",0.0126002340928363
"Otu000095",1.24806174070131
"Otu000060",0.558375700912573
"Otu000108",-0.353601466661908
"Otu000306",-1.55917468383553
"Otu000375",1.36684392422286
"Otu000079",0.806872497540649
"Otu000046",-0.127596756898604
"Otu000713",-0.0569271227728506
"Otu000038",0.858518488396535
"Otu000294",0.11161471477645
"Otu000684",-0.0915216992581316
"Otu000084",0.00897887094218416
"Otu001914",-0.334956292599408
"Otu000331",-0.0259788291492943
"Otu001212",0.568885253019447
"Otu000042",0.982507376287055
"Otu000454",-1.02810745813824
"Otu000283",1.3531456200686
"Otu001205",1.43842003830425
"Otu000117",1.33269462161346
"Otu000984",1.00306572136078
"Otu000165",-0.286644084572181
"Otu000183",0.0823306669292302
"Otu000012",-0.0255043101943865
"Otu000242",0.0214261557938345
"Otu001485",0.00792888754648907
"Otu000507",0.0224028941982407
"Otu000394",0.0542971770054326
"Otu000391",0.0170085284680763
"Otu000639",0.641946767102654
"Otu000035",-1.8703654434198
"Otu000201",-3.44399358490583
"Otu000378",0.779786973198937
"Otu000402",-0.27693992513136
"Otu001169",0.942159650973727
"Otu001023",0.571823102538202
"Otu001162",0.0187395181289402
"Otu001004",0.0495311022838237
"Otu000071",-0.711960322498783
"Otu000717",0.264952726687645
"Otu000589",-0.176710866659633
"Otu000800",-0.217175716425719
"Otu000103",-0.0442949804084991
"Otu001098",0.358108138146283
"Otu000588",-0.00891016356794948
"Otu000288",0.00193411240144527
"Otu001209",-0.0298219280552781
"Otu000846",-0.030320592636044
"Otu000099",-0.0160835944300649
"Otu001438",-0.221417157677934
"Otu000853",0.220855629669583
"Otu000785",-0.287636477761824
"Otu000349",0.165882424515555
"Otu000640",1.48978582984619
"Otu000100",-0.789283288521884
"Otu000175",-0.0346854359067404
"Otu000185",0.129411207230053
"Otu005596",-3.1435992689313
"Otu000790",-0.841427189149759
"Otu000252",0.203387455256558
"Otu001350",-0.297604214829292
"Otu000385",0.0447039737883171
"Otu000407",0.0225912963915188
"Otu002730",0.0215574139368122
"Otu000303",0.0194191158554646
"Otu000821",0.0963470742776956
"Otu000632",-1.64850214830735
"Otu000039",1.76414610388618
"Otu000150",-0.104252434839097
"Otu000179",2.24994845490147
"Otu000952",-1.21035920675578
"Otu000226",-0.850707330643848
"Otu000645",-0.827973171774153
"Otu001204",-0.827560863535624
