"","Cluster Number"
"c__Gammaproteobacteria",1
"f__Enterobacteriaceae",1
"o__Enterobacteriales",1
"f__Prevotellaceae",0
"f__Paraprevotellaceae",0
"f__Myxococcales 0319-6G20",2
"s__Myxococcales sp",2
"c__Lentisphaeria",3
"o__Victivallales",3
"p__Lentisphaerae",3
"g__Streptococcus",4
"c__Coriobacteriia",5
"o__Coriobacteriales",5
"f__Coriobacteriaceae",5
"g__Paraprevotella",0
"g__Blautia",0
"g__Erysipelotrichaceae cc_115",6
"s__Erysipelotrichaceae cc_115 sp",6
"s__symbiosum",0
"s__Desulfovibrionaceae sp",7
"g__Desulfovibrionaceae unidentified",7
"f__Brevibacteriaceae",4
"s__Brevibacterium sp",4
"s__ramosum",0
"s__Sphingomonas sp",8
"s__Tepidimonas sp",9
"f__Microbacteriaceae",0
"g__Tepidimonas",9
"s__hathewayi",0
"g__Staphylococcus",0
"s__adolescentis",0
"g__Rothia",10
"s__citroniae",0
"s__mucilaginosa",10
"s__distasonis",0
"g__Actinomyces",8
"s__Actinomyces",8
"s__stutzeri",0
"o__Alteromonadales",0
"g__Shewanella",11
"f__Shewanellaceae",11
"c__Bacilli",4
"s__Roseburia sp",8
"s__Parvimonas sp",12
"g__Parvimonas",12
"s__fragilis",0
