"","x"
"f__Prevotellaceae","2.72"
"f__Paraprevotellaceae","1.88"
"g__Paraprevotella","3.14"
"g__Blautia","0.55"
"s__symbiosum","1.41"
"s__ramosum","3.21"
"f__Microbacteriaceae","4.89"
"s__hathewayi","3.75"
"g__Staphylococcus","12.50"
"s__adolescentis","2.69"
"s__citroniae","6.38"
"s__distasonis","9.54"
"s__stutzeri","1.24"
"o__Alteromonadales","2.32"
"s__fragilis","1.95"
"c__Gammaproteobacteria~f__Enterobacteriaceae~o__Enterobacteriales","2.07"
"f__Myxococcales 0319-6G20~s__Myxococcales sp","0.80"
"c__Lentisphaeria~o__Victivallales~p__Lentisphaerae","0.18"
"g__Streptococcus~f__Brevibacteriaceae~s__Brevibacterium sp~c__Bacilli","3.03"
"c__Coriobacteriia~o__Coriobacteriales~f__Coriobacteriaceae","6.20"
"g__Erysipelotrichaceae cc_115~s__Erysipelotrichaceae cc_115 sp","0.93"
"s__Desulfovibrionaceae sp~g__Desulfovibrionaceae unidentified","1.43"
"s__Sphingomonas sp~g__Actinomyces~s__Actinomyces~s__Roseburia sp","0.36"
"s__Tepidimonas sp~g__Tepidimonas","10.15"
"g__Rothia~s__mucilaginosa","3.30"
"g__Shewanella~f__Shewanellaceae","2.65"
"s__Parvimonas sp~g__Parvimonas","1.04"
