"","x"
"1","g__Paraprevotella"
"2","g__Streptococcus"
"3","s__symbiosum"
"4","s__hathewayi"
"5","g__Staphylococcus"
"6","s__distasonis"
"7","c(""g__Actinomyces"", ""s__Actinomyces"")"
"8","c(""s__Parvimonas sp"", ""g__Parvimonas"")"
"9","s__fragilis"
"10","s__adolescentis"
"11","g__Blautia"
"12","s__Roseburia sp"
"13","f__Brevibacteriaceae"
"14","s__Brevibacterium sp"
"15","c__Bacilli"
"16","f__Brevibacteriaceae"
"17","s__Brevibacterium sp"
"18","c__Bacilli"
