"","Node","Microbe Names","Node Size","Node Score"
"1","1","Paraprevotella","1","0.193475213483939"
"2","2","Streptococcus","4","0.0918514060433644"
"3","3","symbiosum","2","0.193402033901498"
"4","4","hathewayi","1","0.208374019731507"
"5","5","Staphylococcus","1","0.192038759983206"
"6","6","distasonis","1","0.212048617636957"
"7","7","Actinomyces","2","0.10579368647186"
"8","8","Parvimonas","6","0.136729250471324"
"9","9","fragilis","3","0.193428595225005"
"10","10","adolescentis","1","0.194943609388287"
"11","11","Blautia","3","0.189348106448204"
"12","12","Roseburia","2","0.0876530504348899"
