"","x"
"1","0.05392"
"2","0.00590"
"3","-0.05871"
"4","0.00498"
"5","-0.00651"
"6","-0.19559"
"7","0.34292"
"8","-0.15729"
"9","0.10327"
"10","-0.02801"
"11","-0.25718"
"12","-0.78911"
"13","0.00808"
"14","0.01719"
"15","-0.00237"
"16","-0.00903"
"17","0.00028"
"18","0.00045"
"19","-0.05000"
"20","0.36606"
"21","0.01969"
"22","0.04094"
"23","-0.00067"
"24","0.51661"
"25","0.00719"
"26","-0.01158"
"27","0.00406"
