"","label_dat"
"1",-1.20415945787923
"2",1.20415945787923
"3",-1.20415945787923
"4",0
"5",1.20415945787923
"6",1.20415945787923
"7",-1.20415945787923
"8",1.20415945787923
"9",-1.20415945787923
"10",-1.20415945787923
"11",-1.20415945787923
"12",-1.20415945787923
"13",-1.20415945787923
"14",-1.20415945787923
"15",-1.20415945787923
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",1.20415945787923
"26",1.20415945787923
"27",1.20415945787923
"28",1.20415945787923
"29",1.20415945787923
"30",1.20415945787923
