"","Node","Microbe Names","Node Size"
"1","1","Paraprevotella","1"
"2","2","Streptococcus","4"
"3","3","symbiosum","2"
"4","4","hathewayi","1"
"5","5","Staphylococcus","1"
"6","6","distasonis","1"
"7","7","Actinomyces","2"
"8","8","Parvimonas","6"
"9","9","fragilis","3"
"10","10","adolescentis","1"
"11","11","Blautia","3"
"12","12","Roseburia","2"
